Craiova - Bordei hc; Cost:1
Oradea Est - Oradea Est Triaj h; Cost:1
Radaia h - Mera; Cost:1
Maneciu - Gheaba 2; Cost:1
Maneciu Pamanteni hc - Izvoarele hc; Cost:1
Faget Teleajen - Magurele Prahova N. hc; Cost:1
Vatra Dornei - Vatra Dornei Bai h; Cost:1
Livadia hc - Ponor hc; Cost:1
Bacia Hm - Bacia hc; Cost:1
Bucuresti Basarab - Bucuresti Basarab h; Cost:1
Bucuresti Basarab h - Carpati h; Cost:1
Radauti Gara Mica h - Radauti; Cost:1
Bucuresti Nord - Bucuresti Basarab h; Cost:2
Alesd - Alesd hc; Cost:2
Vadu Crisului - Vadu Crisului hc; Cost:2
Bratca - Balnaca hc; Cost:2
Stana de Vale hc - Bulz; Cost:2
Negreni h - Ciucea; Cost:2
Aghires - Doroltu hc; Cost:2
Radaia h - Suceag hc; Cost:2
Mera - Nadasel hc; Cost:2
Doroltu hc - Macau hc; Cost:2
Gheaba 2 - Maneciu Pamanteni hc; Cost:2
Valenii de Munte - PO Gura Vitioarei; Cost:2
Magurele Prahova - Magurele Sud hc; Cost:2
Lipanesti hc - Boldesti hc; Cost:2
Boldesti hc - Scaeni; Cost:2
Calimanesti - Pausa h; Cost:2
Sinaia - Sinaia Sud hc; Cost:2
Lesu Ilvei Hm - Stramba h; Cost:2
Podereia Feldrului h. - Feldru Hm; Cost:2
Nasaud - Nasaud H; Cost:2
Nimigea - Nimigea hc; Cost:2
Mogoseni Hm - Cociu hc; Cost:2
Caila hc - Sfantu hc; Cost:2
Magherus Sieu - Arcalia hc; Cost:2
Galaseni hc - Stana Hm; Cost:2
Sibiu - Sibiu hc; Cost:2
Zarnesti - Zarnesti hc; Cost:2
Zarnesti hc - Tohanu Vechi Hm; Cost:2
Rasnov hc - Rasnov; Cost:2
Dej Calatori - Dej; Cost:2
Ileanda - Bizusa hc; Cost:2
Iasi - Nicolina; Cost:2
Corlateni hc - Carasa hc; Cost:2
Sibiu hc - Turnisor; Cost:2
Saliste - Aciliu hc; Cost:2
Sebes Alba - Sebes Glod hc; Cost:2
Santimbru - Santimbru hc; Cost:2
Ocna Sibiului - Baile Ocna Sibiului hc; Cost:2
Mandra h - Loamnes Hm; Cost:2
Seica Mare hc - Seica Mare; Cost:2
Baru Mare hc - Baru Mare; Cost:2
Rusor hc - Baesti; Cost:2
Baesti - Ohaba de Sub Piatra hc; Cost:2
Ohaba de Sub Piatra hc - Ciopea h; Cost:2
Covragiu h - Plopi h; Cost:2
Plopi h - Bretea Streiului; Cost:2
Maceu hc - Rusi hc; Cost:2
Calan Bai - Batiz hc; Cost:2
Batiz hc - Bacia Hm; Cost:2
Depoul Buc. Triaj h - Chitila; Cost:2
Depoul Buc. Triaj h - Pajura Hm; Cost:2
Pajura Hm - Carpati h; Cost:2
Sabolciu hc - Sacadat Hm; Cost:2
Apahida - Dezmir hc; Cost:2
Bontida - Rascruci hc; Cost:2
Jucu - Jucu de Jos hc; Cost:2
Cricov - Muru hc; Cost:2
Plaiesu hc - Sfantu Mina; Cost:2
Vicovu de Jos hc - Vicovu de Sus hc; Cost:2
Gura Putnei - Putna Troita h; Cost:2
Putna Troita h - Putna Centru h; Cost:2
Putna Centru h - Putna; Cost:2
Recolta hc - Perisoru; Cost:2
Islaz - Branesti; Cost:2
Branesti - Branesti Sat hc; Cost:2
Craiova - Craiova Triaj hc; Cost:3
Alesd - Tetchea hc; Cost:3
Valea Draganului hc - Poieni; Cost:3
Poieni - Bologa hc; Cost:3
Bologa hc - Braisoru; Cost:3
Aghires hc - Aghires; Cost:3
Homoriciu Hm - Teisani; Cost:3
Valeni Nord - Valenii de Munte; Cost:3
PO Gura Vitioarei - Faget Teleajen; Cost:3
Magurele Prahova N. hc - Magurele Prahova; Cost:3
Ploiesti Nord - Ploiesti E. P. 1 h; Cost:3
Ploiesti E. P. 1 h - Ploiesti Sud; Cost:3
Ploiesti Vest - Ploiesti Triaj hc; Cost:3
Breaza hc - Nistoresti hc; Cost:3
Comarnic - Breaza Nord; Cost:3
Busteni - Poiana Tapului hc; Cost:3
Brasov - Bartolomeu; Cost:3
Stramba h - Ilva Mica; Cost:3
Ilva Mica - Podereia Feldrului h.; Cost:3
Salva - Mititei hc; Cost:3
Sinaia Sud hc - Valea Larga Hm; Cost:3
Galgau - Galgau h; Cost:3
Jibou - Var hc; Cost:3
Suceava - Suceava Nord; Cost:3
Salonta - Madaras Bihor hc; Cost:3
Copsa Mica - Axente Sever h; Cost:3
Simeria - Simeria Triaj; Cost:3
Petrosani - Petrosani Triaj h; Cost:3
Subcetate - Covragiu h; Cost:3
Calan - Calan Bai; Cost:3
Orlat - Sibiel hc; Cost:3
Sibiel hc - Sacelu Sibiului hc; Cost:3
Apoldu de Jos hc - Miercurea Sibiu; Cost:3
Baile Miercurea hc - Cunta; Cost:3
Cut hc - Rahau hc; Cost:3
Petrosani Triaj h - Pestera Bolii h.; Cost:3
Crivadia - Baru Mare hc; Cost:3
Baru Mare - Livadia hc; Cost:3
Ponor hc - Pui; Cost:3
Bretea Streiului - Maceu hc; Cost:3
Bacia hc - Simeria Triaj; Cost:3
Nistoresti hc - Breaza Nord; Cost:3
Utvinis hc - Zimandu Nou hc; Cost:3
Utvinis hc - Utvinisu Nou Hm; Cost:3
Apahida - Apahida h; Cost:3
Bontida - Fundatura hc; Cost:3
Caseiu Hm - Coplean hc; Cost:3
Cuciulat - Babuteni; Cost:3
Jucu de Jos hc - Rascruci hc; Cost:3
Domnesti pe Sieu hc - Mariselu; Cost:3
Poptelec hc - Cuceu Salaj hc; Cost:3
Galanesti - Vicov h; Cost:3
Vicov h - Vicovu de Jos hc; Cost:3
Vicovu de Sus hc - Bivolaria hc; Cost:3
Bivolaria hc - Gura Putnei; Cost:3
Murfatlar hc - Basarabi; Cost:3
Dorobantu - Castelu hc; Cost:3
Ovidiu - Ramificatia Borcea; Cost:3
Perisoru - Ogoarele hc; Cost:3
Dragos Voda - Bogdana h; Cost:3
Dor Marunt - Dor Marunt Sat h; Cost:3
Oradea - Oradea Est; Cost:4
Suncuius - Balnaca hc; Cost:4
Bratca - Stana de Vale hc; Cost:4
Piatra Craiului - Lacu Crisului h; Cost:4
Piatra Craiului - Bulz; Cost:4
Lacu Crisului h - Negreni h; Cost:4
Ciucea - Valea Draganului hc; Cost:4
Garbau - Macau hc; Cost:4
Izvoarele hc - Homoriciu Hm; Cost:4
Teisani - Valeni Nord; Cost:4
Magurele Sud hc - Lipanesti hc; Cost:4
Scaeni - Blejoi; Cost:4
Blejoi - Ploiesti Nord; Cost:4
Ploiesti Sud - Ploiesti Est; Cost:4
Buftea - Darza hc; Cost:4
Crivina - Scrovistea hc; Cost:4
Busteni - Azuga; Cost:4
Magura Ilvei - Poiana Ilvei; Cost:4
Nasaud H - Salva; Cost:4
Mititei hc - Nimigea; Cost:4
Nimigea hc - Mogoseni Hm; Cost:4
Sintereag - Caila hc; Cost:4
Arcalia hc - Saratel; Cost:4
Constanta - Palas; Cost:4
Podu Olt - Talmaciu; Cost:4
Rasnov - Cristian; Cost:4
Deda - Morareni hc; Cost:4
Catcau - Coplean hc; Cost:4
Iacobenii Vechi hc - Soldana; Cost:4
Soldana - Andrieseni hc; Cost:4
Andrieseni hc - Rediu; Cost:4
Rediu - Rauseni hc; Cost:4
Vorniceni - Mateieni hc; Cost:4
Pascani - Topile hc; Cost:4
Campulung Est - Campulung Moldovenesc; Cost:4
Santana - Comlaus hc; Cost:4
Ciumeghiu - Boiu Bihor hc; Cost:4
Teius - Coslariu; Cost:4
Razboieni - Unirea hc; Cost:4
Alba Iulia - Barabant; Cost:4
Subcetate - Ciopea h; Cost:4
Calan - Rusi hc; Cost:4
Sacelu Sibiului hc - Saliste; Cost:4
Santimbru hc - Coslariu; Cost:4
Loamnes Hm - Hasag hc; Cost:4
Hasag hc - Veseud h; Cost:4
Veseud h - Seica Mare hc; Cost:4
Seica Mare - Agarbiciu hc; Cost:4
Agarbiciu hc - Axente Sever h; Cost:4
Chitila - Bucuresti Triaj hc; Cost:4
Tetchea hc - Telechiu Hm; Cost:4
Iclod - Fundatura hc; Cost:4
Iclod - Livada Somes hc; Cost:4
Rus hc - Glodu Somesului; Cost:4
Babuteni - Ciocmani hc; Cost:4
Ciocmani hc - Surduc Salaj; Cost:4
Surduc Salaj - Var hc; Cost:4
Cluj Napoca Est - Dezmir hc; Cost:4
Galgau h - Glodu Somesului; Cost:4
Mariselu - Barla pe  Sieu hc; Cost:4
Rapa de Jos Hm - Morareni hc; Cost:4
Poptelec hc - Mirsid; Cost:4
Ulmeni - Clondiru; Cost:4
Muru hc - Valea Calugareasca; Cost:4
Cristesti Pascani hc - Timisesti; Cost:4
Valu lui Traian - Murfatlar hc; Cost:4
Poarta Alba hc - Dorobantu; Cost:4
Stefan cel Mare hc - Jegalia; Cost:4
Jegalia - Recolta hc; Cost:4
Tulcea Marfuri - Tulcea Oras; Cost:4
Vartoapele hc - Radoiesti Hm; Cost:5
Osorhei - Oradea Est Triaj h; Cost:5
Tileagd - Telechiu Hm; Cost:5
Tileagd - Sabolciu hc; Cost:5
Vadu Crisului - Butan Hm; Cost:5
Suncuius - Vadu Crisului hc; Cost:5
Cluj Napoca - Baciu Triaj; Cost:5
Crivina - Prahova; Cost:5
Campina - Breaza hc; Cost:5
Campina - Bobolia h; Cost:5
Comarnic - Posada hc; Cost:5
Sinaia - Poiana Tapului hc; Cost:5
Feldru Hm - Nepos hc; Cost:5
Nepos hc - Rebrisoara; Cost:5
Rebrisoara - Nasaud; Cost:5
Sfantu hc - Magherus Sieu; Cost:5
